_id,id_number,first_name,last_name,city,state_code,shirt_or_hat,quiz_points,team,signup,age,company
66ea76c0a8382b93d8ecdb85,1,Janice,Howell,Los Angeles,CA,hat,92,Cosmic Cobras,2021-01-01 00:00:00,44,Homenick Group
66ea76c0a8382b93d8ecdb86,2,Wanda,Alvarez,Riverside,CA,shirt,80,Angry Ants,2021-01-01 00:00:00,33,Nicolas Inc
66ea76c0a8382b93d8ecdb87,3,Laura,Olson,San Mateo,CA,shirt,84,Baffled Badgers,2021-01-01 00:00:00,40,Hoeger-O'Keefe
66ea76c0a8382b93d8ecdb88,4,Jack,Garcia,Hicksville,NY,shirt,98,Cosmic Cobras,2021-01-01 00:00:00,55,
66ea76c0a8382b93d8ecdb89,5,Ryan,Rice,Wilmington,DE,shirt,84,Angry Ants,2021-01-01 00:00:00,57,Carter-VonRueden
66ea76c0a8382b93d8ecdb8a,6,Christine,Wood,Grand Rapids,MI,shirt,82,Baffled Badgers,2021-01-01 00:00:00,20,Zboncak-Leannon
66ea76c0a8382b93d8ecdb8b,7,Dennis,Banks,New York City,NY,hat,85,Cosmic Cobras,2021-01-01 00:00:00,58,"Ullrich, Schroeder and Rempel"
66ea76c0a8382b93d8ecdb8c,8,Paula,Montgomery,Mobile,AL,shirt,87,Angry Ants,2021-01-01 00:00:00,60,Krajcik-Koss
66ea76c0a8382b93d8ecdb8d,9,Jerry,Ferguson,Carol Stream,IL,shirt,81,Baffled Badgers,2021-01-01 00:00:00,49,"Marcus, Schuppe and Jacobs"
66ea76c0a8382b93d8ecdb8e,10,Darren,Black,Pensacola,FL,shirt,87,Cosmic Cobras,2021-01-01 00:00:00,46,Cartwright LLC
66ea76c0a8382b93d8ecdb8f,11,Gerald,Johnston,Dallas,TX,shirt,78,Angry Ants,2021-01-01 00:00:00,21,
66ea76c0a8382b93d8ecdb90,12,Bonnie,Brooks,Bridgeport,CT,hat,86,Baffled Badgers,2021-01-01 00:00:00,51,Terry-Weber
66ea76c0a8382b93d8ecdb91,13,Rose,Armstrong,Anchorage,AK,shirt,93,Cosmic Cobras,2021-01-01 00:00:00,48,Bashirian Inc
66ea76c0a8382b93d8ecdb92,14,Patrick,Johnson,Boise,ID,hat,71,Angry Ants,2021-01-01 00:00:00,21,"Boehm, Grant and Kuphal"
66ea76c0a8382b93d8ecdb93,15,Linda,Mitchell,Burbank,CA,shirt,92,Baffled Badgers,2021-01-01 00:00:00,47,Steuber LLC
66ea76c0a8382b93d8ecdb94,16,Brian,George,Lake Worth,FL,hat,82,Cosmic Cobras,2021-01-01 00:00:00,54,"Stehr, Windler and MacGyver"
66ea76c0a8382b93d8ecdb95,17,Jonathan,Ryan,Alexandria,LA,hat,81,Angry Ants,2021-01-01 00:00:00,39,"Davis, Stark and Spencer"
66ea76c0a8382b93d8ecdb96,18,Paul,Williamson,Apache Junction,AZ,hat,77,Baffled Badgers,2021-01-01 00:00:00,48,Rohan Ltd.
66ea76c0a8382b93d8ecdb97,19,Robin,Hayes,Salinas,CA,shirt,98,Cosmic Cobras,2021-01-01 00:00:00,27,"Cole, Cronin and Ruecker"
66ea76c0a8382b93d8ecdb98,20,James,Graham,Ogden,UT,shirt,82,Angry Ants,2021-01-01 00:00:00,32,Bosco Inc
66ea76c0a8382b93d8ecdb99,21,Robert,Hart,Everett,WA,shirt,89,Baffled Badgers,2021-01-01 00:00:00,35,Gulgowski Ltd.
66ea76c0a8382b93d8ecdb9a,22,Joe,Thompson,Peoria,IL,shirt,96,Cosmic Cobras,2021-01-01 00:00:00,20,Yundt Group
66ea76c0a8382b93d8ecdb9b,23,Michelle,Montgomery,Salinas,CA,hat,76,Angry Ants,2021-01-01 00:00:00,56,Treutel-Luettgen
66ea76c0a8382b93d8ecdb9c,24,Randy,Oliver,Dallas,TX,hat,88,Baffled Badgers,2021-01-01 00:00:00,59,Rice Group
66ea76c0a8382b93d8ecdb9d,25,Earl,Snyder,Birmingham,AL,hat,85,Cosmic Cobras,2021-01-01 00:00:00,51,Mills Ltd.
66ea76c0a8382b93d8ecdb9e,26,Helen,Berry,New Haven,CT,shirt,78,Angry Ants,2021-01-02 00:00:00,38,Gerhold-Runte
66ea76c0a8382b93d8ecdb9f,27,Christina,Evans,Phoenix,AZ,shirt,83,Baffled Badgers,2021-01-02 00:00:00,22,Hagenes Ltd.
66ea76c0a8382b93d8ecdba0,28,Scott,Thompson,Des Moines,IA,hat,100,Cosmic Cobras,2021-01-02 00:00:00,42,"Lang, Spinka and Herman"
66ea76c0a8382b93d8ecdba1,29,Gerald,Montgomery,Albuquerque,NM,shirt,85,Angry Ants,2021-01-02 00:00:00,39,Zulauf-Kozey
66ea76c0a8382b93d8ecdba2,30,Nicole,Willis,Fargo,ND,hat,83,Baffled Badgers,2021-01-02 00:00:00,55,Simonis LLC
66ea76c0a8382b93d8ecdba3,31,John,Howard,Albany,NY,hat,85,Cosmic Cobras,2021-01-02 00:00:00,59,Denesik Inc
66ea76c0a8382b93d8ecdba4,32,Donna,Daniels,Port Charlotte,FL,hat,81,Angry Ants,2021-01-02 00:00:00,43,Ziemann Ltd.
66ea76c0a8382b93d8ecdba5,33,Michelle,Nelson,Springfield,MA,hat,87,Baffled Badgers,2021-01-02 00:00:00,26,"Schowalter, Bogan and Franecki"
66ea76c0a8382b93d8ecdba6,34,Gary,Peters,Carson City,NV,shirt,97,Cosmic Cobras,2021-01-02 00:00:00,58,
66ea76c0a8382b93d8ecdba7,35,Darren,Ellis,El Paso,TX,hat,84,Angry Ants,2021-01-02 00:00:00,53,Hickle Ltd.
66ea76c0a8382b93d8ecdba8,36,Sharon,Brown,Portland,OR,hat,84,Baffled Badgers,2021-01-02 00:00:00,46,"Sipes, Adams and Steuber"
66ea76c0a8382b93d8ecdba9,37,Margaret,Hamilton,Detroit,MI,hat,96,Cosmic Cobras,2021-01-02 00:00:00,53,"Dickinson, Lakin and Waters"
66ea76c0a8382b93d8ecdbaa,38,Richard,Fox,Baton Rouge,LA,hat,74,Angry Ants,2021-01-02 00:00:00,37,Jaskolski Ltd.
66ea76c0a8382b93d8ecdbab,39,Linda,Foster,Austin,TX,shirt,92,Baffled Badgers,2021-01-02 00:00:00,60,Collins Ltd.
66ea76c0a8382b93d8ecdbac,40,Janet,Rodriguez,Stockton,CA,hat,92,Cosmic Cobras,2021-01-02 00:00:00,20,
66ea76c0a8382b93d8ecdbad,41,Jacqueline,Morales,Fairfax,VA,shirt,88,Angry Ants,2021-01-02 00:00:00,52,
66ea76c0a8382b93d8ecdbae,42,Barbara,Ortiz,Los Angeles,CA,shirt,87,Baffled Badgers,2021-01-02 00:00:00,48,"Smitham, Kertzmann and Leffler"
66ea76c0a8382b93d8ecdbaf,43,Tina,Greene,Seattle,WA,hat,90,Cosmic Cobras,2021-01-02 00:00:00,32,"Becker, Davis and Moen"
66ea76c0a8382b93d8ecdbb0,44,Roy,Lopez,San Francisco,CA,hat,81,Angry Ants,2021-01-02 00:00:00,26,Schneider Ltd.
66ea76c0a8382b93d8ecdbb1,45,David,Ford,Fort Wayne,IN,shirt,84,Baffled Badgers,2021-01-02 00:00:00,32,"Howe, Reinger and Ondricka"
66ea76c0a8382b93d8ecdbb2,46,Robert,Bradley,Chicago,IL,hat,87,Cosmic Cobras,2021-01-02 00:00:00,39,"Gottlieb, Ebert and Kuphal"
66ea76c0a8382b93d8ecdbb3,47,Paul,Schmidt,Davenport,IA,shirt,76,Angry Ants,2021-01-02 00:00:00,51,"Luettgen, Schroeder and Green"
66ea76c0a8382b93d8ecdbb4,48,Christina,Watkins,Montpelier,VT,hat,82,Baffled Badgers,2021-01-02 00:00:00,42,Hauck-Brakus
